lang,QID,policy_name_en
ab,Q4048254,Wikipedia:Requests for adminship
ady,Q4048254,Wikipedia:Requests for adminship
ang,Q4048254,Wikipedia:Requests for adminship
an,Q4048254,Wikipedia:Requests for adminship
ar,Q4048254,Wikipedia:Requests for adminship
ary,Q4048254,Wikipedia:Requests for adminship
arz,Q4048254,Wikipedia:Requests for adminship
as,Q4048254,Wikipedia:Requests for adminship
av,Q4048254,Wikipedia:Requests for adminship
azb,Q4048254,Wikipedia:Requests for adminship
bat-smg,Q4048254,Wikipedia:Requests for adminship
be,Q4048254,Wikipedia:Requests for adminship
bg,Q4048254,Wikipedia:Requests for adminship
bh,Q4048254,Wikipedia:Requests for adminship
bn,Q4048254,Wikipedia:Requests for adminship
bo,Q4048254,Wikipedia:Requests for adminship
bpy,Q4048254,Wikipedia:Requests for adminship
bs,Q4048254,Wikipedia:Requests for adminship
bxr,Q4048254,Wikipedia:Requests for adminship
ca,Q4048254,Wikipedia:Requests for adminship
ceb,Q4048254,Wikipedia:Requests for adminship
ce,Q4048254,Wikipedia:Requests for adminship
ckb,Q4048254,Wikipedia:Requests for adminship
cs,Q4048254,Wikipedia:Requests for adminship
da,Q4048254,Wikipedia:Requests for adminship
de,Q4048254,Wikipedia:Requests for adminship
dty,Q4048254,Wikipedia:Requests for adminship
dv,Q4048254,Wikipedia:Requests for adminship
el,Q4048254,Wikipedia:Requests for adminship
eml,Q4048254,Wikipedia:Requests for adminship
en,Q4048254,Wikipedia:Requests for adminship
eo,Q4048254,Wikipedia:Requests for adminship
es,Q4048254,Wikipedia:Requests for adminship
et,Q4048254,Wikipedia:Requests for adminship
eu,Q4048254,Wikipedia:Requests for adminship
fa,Q4048254,Wikipedia:Requests for adminship
fo,Q4048254,Wikipedia:Requests for adminship
fr,Q4048254,Wikipedia:Requests for adminship
gan,Q4048254,Wikipedia:Requests for adminship
ga,Q4048254,Wikipedia:Requests for adminship
gl,Q4048254,Wikipedia:Requests for adminship
got,Q4048254,Wikipedia:Requests for adminship
gu,Q4048254,Wikipedia:Requests for adminship
hak,Q4048254,Wikipedia:Requests for adminship
haw,Q4048254,Wikipedia:Requests for adminship
he,Q4048254,Wikipedia:Requests for adminship
hi,Q4048254,Wikipedia:Requests for adminship
hr,Q4048254,Wikipedia:Requests for adminship
hy,Q4048254,Wikipedia:Requests for adminship
id,Q4048254,Wikipedia:Requests for adminship
ig,Q4048254,Wikipedia:Requests for adminship
inh,Q4048254,Wikipedia:Requests for adminship
io,Q4048254,Wikipedia:Requests for adminship
it,Q4048254,Wikipedia:Requests for adminship
ja,Q4048254,Wikipedia:Requests for adminship
ka,Q4048254,Wikipedia:Requests for adminship
kbd,Q4048254,Wikipedia:Requests for adminship
kbp,Q4048254,Wikipedia:Requests for adminship
kk,Q4048254,Wikipedia:Requests for adminship
km,Q4048254,Wikipedia:Requests for adminship
kn,Q4048254,Wikipedia:Requests for adminship
koi,Q4048254,Wikipedia:Requests for adminship
ko,Q4048254,Wikipedia:Requests for adminship
